SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,SUBDIV_NORMAL_ANNUAL,SUBDIV_NORMAL_MONSOON,CLIMATIC_ZONE,ANNUAL_PDN,MONSOON_PDN,ANNUAL_ZSCORE,MONSOON_ZSCORE,LAG1_ANNUAL,LAG2_ANNUAL,LAG3_ANNUAL,LAG1_MONSOON,ANNUAL_MOMENTUM,ROLL3_MEAN_ANNUAL,ROLL5_MEAN_ANNUAL,ROLL5_STD_ANNUAL,DECADAL_DRIFT,WINTER_PCT,PRE_MONSOON_PCT,MONSOON_CONCENTRATION_PCT,RETREATING_MONSOON_PCT,EARLY_VS_LATE_MONSOON_RATIO,JUNE_ONSET_PDN,IMD_DROUGHT_CATEGORY,IS_DROUGHT_YEAR
ARUNACHAL PRADESH,1980,65.60,130.40,251.40,372.00,245.50,530.90,514.10,544.70,367.40,185.40,7.80,0.20,3215.40,196.00,868.90,1957.10,193.40,3444.81,2268.57,Hyper-Pluvial,-6.66,-13.73,-0.215,-0.376,2773.70,2531.00,3774.40,1619.20,+242.70,3026.37,2742.42,546.76,-877.51,6.10,27.02,60.87,6.01,1.146,-17.78,Normal,0
ARUNACHAL PRADESH,1981,93.10,136.10,255.20,197.40,285.00,494.90,549.30,360.60,262.60,71.80,29.30,55.50,2790.80,229.20,737.60,1667.40,156.60,3444.81,2268.57,Hyper-Pluvial,-18.99,-26.50,-0.613,-0.726,3215.40,2773.70,2531.00,1957.10,+441.70,2840.03,2942.82,497.55,-753.31,8.21,26.43,59.75,5.61,1.676,-23.36,Normal,0
ARUNACHAL PRADESH,1982,6.40,100.40,151.20,335.30,241.40,429.80,593.00,197.00,526.60,82.30,53.80,62.20,2779.40,106.80,727.90,1746.40,198.30,3444.81,2268.57,Hyper-Pluvial,-19.32,-23.02,-0.623,-0.630,2790.80,3215.40,2773.70,1667.40,-424.60,2926.63,3017.06,438.08,-692.69,3.84,26.19,62.83,7.13,1.413,-33.44,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,1983,65.40,171.10,217.60,351.20,301.90,551.00,563.20,389.90,476.40,191.70,14.90,40.80,3335.10,236.50,870.70,1980.50,247.40,3444.81,2268.57,Hyper-Pluvial,-3.18,-12.70,-0.103,-0.348,2779.40,2790.80,3215.40,1746.40,-11.40,2928.53,2818.06,221.13,-642.88,7.09,26.11,59.38,7.42,1.286,-14.67,Normal,0
ARUNACHAL PRADESH,1984,98.10,42.80,166.90,389.30,448.70,417.30,671.00,309.20,455.50,184.10,5.70,89.50,3278.10,140.90,1004.90,1853.00,279.30,3444.81,2268.57,Hyper-Pluvial,-4.84,-18.32,-0.156,-0.502,3335.10,2779.40,2790.80,1980.50,+555.70,2968.43,2978.88,244.99,-555.13,4.30,30.65,56.53,8.52,1.423,-35.37,Normal,0
ARUNACHAL PRADESH,1985,54.10,81.00,255.60,347.10,345.50,506.00,657.80,326.30,502.20,116.60,25.40,48.80,3266.40,135.10,948.20,1992.30,190.80,3444.81,2268.57,Hyper-Pluvial,-5.18,-12.18,-0.167,-0.333,3278.10,3335.10,2779.40,1853.00,-57.00,3130.87,3079.76,243.58,-533.72,4.14,29.03,60.99,5.84,1.405,-21.64,Normal,0
ARUNACHAL PRADESH,1986,19.30,90.10,122.80,335.30,101.80,402.50,453.70,355.30,387.60,176.60,36.60,14.00,2495.60,109.40,559.90,1599.10,227.20,3444.81,2268.57,Hyper-Pluvial,-27.55,-29.51,-0.889,-0.808,3266.40,3278.10,3335.10,1992.30,-11.70,3293.20,3089.96,250.03,-428.42,4.38,22.44,64.08,9.10,1.153,-37.67,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,1987,3.70,72.50,147.70,352.00,230.80,501.50,754.90,558.80,646.60,101.10,24.10,39.60,3433.30,76.20,730.50,2461.80,164.80,3444.81,2268.57,Hyper-Pluvial,-0.33,+8.52,-0.011,+0.233,2495.60,3266.40,3278.10,1599.10,-770.80,3013.37,3030.92,334.34,-420.82,2.22,21.28,71.70,4.80,1.042,-22.33,Normal,0
ARUNACHAL PRADESH,1988,50.90,118.30,250.70,278.90,535.90,287.00,868.10,815.60,486.30,416.40,34.20,13.10,4155.40,169.20,1065.50,2457.00,463.70,3444.81,2268.57,Hyper-Pluvial,+20.63,+8.31,+0.666,+0.227,3433.30,2495.60,3266.40,2461.80,+937.70,3065.10,3161.70,338.24,-454.93,4.07,25.64,59.13,11.16,0.887,-55.55,Excess (Deluge),0
ARUNACHAL PRADESH,1989,52.60,171.90,92.90,388.70,239.70,484.20,640.70,305.30,526.50,281.70,77.90,19.60,3281.70,224.50,721.30,1956.70,379.20,3444.81,2268.57,Hyper-Pluvial,-4.73,-13.75,-0.153,-0.376,4155.40,3433.30,2495.60,2457.00,+722.10,3361.43,3325.76,528.17,-292.49,6.84,21.98,59.62,11.55,1.352,-25.01,Normal,0
ARUNACHAL PRADESH,1990,54.80,112.40,149.00,289.90,366.20,857.20,534.00,352.80,625.50,240.60,2.00,19.70,3604.10,167.20,805.10,2369.50,262.30,3444.81,2268.57,Hyper-Pluvial,+4.62,+4.45,+0.149,+0.122,3281.70,4155.40,3433.30,1956.70,-873.70,3623.47,3326.48,528.11,-241.69,4.64,22.34,65.74,7.28,1.422,+32.75,Normal,0
ARUNACHAL PRADESH,1991,24.90,86.00,110.70,193.30,423.70,608.30,607.70,603.40,484.50,189.00,22.20,80.80,3434.50,110.90,727.70,2303.90,292.00,3444.81,2268.57,Hyper-Pluvial,-0.30,+1.56,-0.010,+0.043,3604.10,3281.70,4155.40,2369.50,+322.40,3680.40,3394.02,537.62,-202.82,3.23,21.19,67.08,8.50,1.118,-5.79,Normal,0
ARUNACHAL PRADESH,1992,33.20,128.90,184.60,196.40,239.20,522.90,557.20,294.30,328.20,201.50,11.50,8.90,2706.80,162.10,620.20,1702.60,221.90,3444.81,2268.57,Hyper-Pluvial,-21.42,-24.95,-0.691,-0.683,3434.50,3604.10,3281.70,2303.90,-169.60,3440.10,3581.80,304.41,-138.45,5.99,22.91,62.90,8.20,1.735,-19.02,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,1993,95.70,125.40,134.40,130.60,408.30,569.50,619.20,691.90,323.10,228.60,14.70,7.50,3348.90,221.10,673.30,2203.70,250.80,3444.81,2268.57,Hyper-Pluvial,-2.78,-2.86,-0.090,-0.078,2706.80,3434.50,3604.10,1702.60,-727.70,3248.47,3436.50,469.33,-145.71,6.60,20.11,65.80,7.49,1.171,-11.80,Normal,0
ARUNACHAL PRADESH,1994,48.20,72.60,215.30,232.10,382.90,416.10,233.00,280.20,225.00,161.60,14.10,6.20,2287.30,120.80,830.30,1154.30,181.90,3444.81,2268.57,Hyper-Pluvial,-33.60,-49.12,-1.084,-1.345,3348.90,2706.80,3434.50,2203.70,+642.10,3163.40,3275.20,304.01,-144.33,5.28,36.30,50.47,7.95,1.285,-35.56,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,1995,20.60,79.90,84.30,198.80,363.90,686.90,714.50,328.80,425.10,82.40,51.00,32.60,3068.80,100.50,647.00,2155.30,166.00,3444.81,2268.57,Hyper-Pluvial,-10.92,-4.99,-0.352,-0.137,2287.30,3348.90,2706.80,1154.30,-1061.60,2781.00,3076.32,498.04,-243.41,3.27,21.08,70.23,5.41,1.859,+6.38,Normal,0
ARUNACHAL PRADESH,1996,35.70,56.20,163.60,171.40,398.20,316.20,593.00,372.10,191.20,212.50,9.10,1.40,2520.60,91.90,733.20,1472.50,223.00,3444.81,2268.57,Hyper-Pluvial,-26.83,-35.09,-0.866,-0.961,3068.80,2287.30,3348.90,2155.30,+781.50,2901.67,2969.26,425.31,-263.17,3.65,29.09,58.42,8.85,1.614,-51.03,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,1997,26.20,68.50,158.50,94.70,212.60,548.00,395.20,237.00,403.50,58.50,45.90,26.30,2274.90,94.70,465.80,1583.70,130.70,3444.81,2268.57,Hyper-Pluvial,-33.96,-30.19,-1.096,-0.827,2520.60,3068.80,2287.30,1472.50,-548.20,2625.57,2786.48,380.06,-260.67,4.16,20.48,69.62,5.75,1.473,-15.13,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,1998,26.70,78.80,193.60,125.00,275.00,839.80,823.80,807.00,236.80,187.20,20.50,2.50,3616.70,105.50,593.60,2707.40,210.20,3444.81,2268.57,Hyper-Pluvial,+4.99,+19.34,+0.161,+0.530,2274.90,2520.60,3068.80,1583.70,-245.70,2621.43,2700.10,433.66,-376.51,2.92,16.41,74.86,5.81,1.594,+30.06,Normal,0
ARUNACHAL PRADESH,1999,7.90,6.10,40.40,159.60,343.20,450.00,376.90,438.10,254.00,207.90,28.30,4.30,2316.70,14.00,543.20,1519.00,240.50,3444.81,2268.57,Hyper-Pluvial,-32.75,-33.04,-1.057,-0.905,3616.70,2274.90,2520.60,2707.40,+1341.80,2804.07,2753.66,518.69,-430.38,0.60,23.45,65.57,10.38,1.195,-30.31,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,2000,54.10,47.10,139.90,293.80,267.20,459.80,395.40,387.40,407.40,81.30,53.90,9.60,2596.90,101.20,700.90,1650.00,144.80,3444.81,2268.57,Hyper-Pluvial,-24.61,-27.27,-0.794,-0.747,2316.70,3616.70,2274.90,1519.00,-1300.00,2736.10,2759.54,513.51,-526.88,3.90,26.99,63.54,5.58,1.076,-28.79,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,2001,53.10,66.60,134.90,229.90,195.60,277.20,302.60,279.90,288.10,173.80,19.30,14.90,2035.90,119.70,560.40,1147.80,208.00,3444.81,2268.57,Hyper-Pluvial,-40.90,-49.40,-1.320,-1.353,2596.90,2316.70,3616.70,1650.00,+280.20,2843.43,2665.16,490.86,-627.60,5.88,27.53,56.38,10.22,1.021,-57.07,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,2002,74.20,37.20,126.30,248.20,197.10,396.80,604.00,290.70,257.90,94.00,45.00,17.90,2389.30,111.40,571.60,1549.40,156.90,3444.81,2268.57,Hyper-Pluvial,-30.64,-31.70,-0.989,-0.868,2035.90,2596.90,2316.70,1147.80,-561.00,2316.50,2568.22,553.68,-767.46,4.66,23.92,64.85,6.57,1.824,-38.55,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,2003,22.90,83.20,109.60,182.00,173.50,424.30,645.30,327.20,259.90,182.60,25.00,16.20,2451.70,106.10,465.10,1656.70,223.80,3444.81,2268.57,Hyper-Pluvial,-28.83,-26.97,-0.930,-0.739,2389.30,2035.90,2596.90,1549.40,+353.40,2340.70,2591.10,543.35,-799.21,4.33,18.97,67.57,9.13,1.822,-34.29,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,2004,38.00,39.10,175.50,210.20,298.70,402.90,654.30,243.00,278.50,184.80,5.60,15.20,2545.80,77.10,684.40,1578.70,205.60,3444.81,2268.57,Hyper-Pluvial,-26.10,-30.41,-0.842,-0.833,2451.70,2389.30,2035.90,1656.70,+62.40,2292.30,2358.10,185.63,-888.93,3.03,26.88,62.01,8.08,2.027,-37.60,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,2005,48.40,167.60,229.50,195.30,179.80,269.30,430.80,400.00,243.60,139.30,28.60,3.30,2335.50,216.00,604.60,1343.70,171.20,3444.81,2268.57,Hyper-Pluvial,-32.20,-40.77,-1.039,-1.116,2545.80,2451.70,2389.30,1578.70,+94.10,2462.27,2403.92,197.64,-863.08,9.25,25.89,57.53,7.33,1.088,-58.29,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,2006,6.00,103.70,63.30,202.70,321.70,520.40,382.20,227.60,263.20,77.20,69.70,21.70,2259.40,109.70,587.70,1393.40,168.60,3444.81,2268.57,Hyper-Pluvial,-34.41,-38.58,-1.110,-1.056,2335.50,2545.80,2451.70,1343.70,-210.30,2444.33,2351.64,172.67,-936.41,4.86,26.01,61.67,7.46,1.839,-19.41,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,2007,13.40,97.40,48.10,292.40,250.40,530.20,761.00,364.60,529.30,102.60,24.30,6.90,3020.60,110.80,590.90,2185.10,133.80,3444.81,2268.57,Hyper-Pluvial,-12.31,-3.68,-0.397,-0.101,2259.40,2335.50,2545.80,1393.40,-76.10,2380.23,2396.34,97.88,-962.53,3.67,19.56,72.34,4.43,1.444,-17.89,Normal,0
ARUNACHAL PRADESH,2008,76.70,39.70,122.60,192.40,185.00,423.60,456.10,439.30,189.70,115.10,1.70,2.60,2244.50,116.40,500.00,1508.70,119.40,3444.81,2268.57,Hyper-Pluvial,-34.84,-33.50,-1.124,-0.917,3020.60,2259.40,2335.50,2185.10,+761.20,2538.50,2522.60,267.53,-887.96,5.19,22.28,67.22,5.32,1.399,-34.40,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,2009,18.00,92.80,72.10,132.70,189.90,259.10,329.90,370.30,152.50,82.90,33.90,15.90,1750.00,110.80,394.70,1111.80,132.70,3444.81,2268.57,Hyper-Pluvial,-49.20,-50.99,-1.587,-1.396,2244.50,3020.60,2259.40,1508.70,-776.10,2508.17,2481.16,290.37,-1025.18,6.33,22.55,63.53,7.58,1.127,-59.87,Scanty (Severe Drought),1
ARUNACHAL PRADESH,2010,0.60,13.20,237.80,466.90,312.70,509.90,378.00,321.50,444.20,97.70,58.90,14.20,2855.60,13.80,1017.40,1653.60,170.80,3444.81,2268.57,Hyper-Pluvial,-17.10,-27.11,-0.552,-0.742,1750.00,2244.50,3020.60,1111.80,-494.50,2338.37,2322.00,406.28,-1081.85,0.48,35.63,57.91,5.98,1.160,-21.03,Normal,0
ARUNACHAL PRADESH,2011,40.00,51.30,174.50,240.80,219.60,288.40,531.40,277.60,286.70,51.90,16.20,15.20,2193.60,91.30,634.90,1384.10,83.30,3444.81,2268.57,Hyper-Pluvial,-36.32,-38.99,-1.172,-1.068,2855.60,1750.00,2244.50,1653.60,+1105.60,2283.37,2426.02,459.52,-1055.98,4.16,28.94,63.10,3.80,1.453,-55.34,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,2012,57.80,35.80,134.20,403.40,187.40,645.80,638.90,316.00,724.90,248.10,22.00,26.20,3440.50,93.60,725.00,2325.60,296.30,3444.81,2268.57,Hyper-Pluvial,-0.13,+2.51,-0.004,+0.069,2193.60,2855.60,1750.00,1384.10,-662.00,2266.40,2412.86,465.01,-1040.21,2.72,21.07,67.59,8.61,1.234,+0.01,Normal,0
ARUNACHAL PRADESH,2013,18.50,40.50,115.10,175.10,335.80,290.00,329.60,230.20,316.10,164.10,13.30,14.60,2042.90,59.00,626.00,1165.90,192.00,3444.81,2268.57,Hyper-Pluvial,-40.70,-48.61,-1.313,-1.331,3440.50,2193.60,2855.60,2325.60,+1246.90,2829.90,2496.84,588.66,-935.09,2.89,30.64,57.07,9.40,1.134,-55.09,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,2014,19.00,101.90,80.30,86.70,299.00,415.80,392.40,599.60,343.00,35.10,20.10,10.20,2403.10,120.90,466.00,1750.80,65.40,3444.81,2268.57,Hyper-Pluvial,-30.24,-22.82,-0.976,-0.625,2042.90,3440.50,2193.60,1165.90,-1397.60,2559.00,2456.52,611.04,-975.97,5.03,19.39,72.86,2.72,0.857,-35.61,Deficient (Moderate Drought),1
ARUNACHAL PRADESH,2015,30.80,47.50,97.50,287.10,238.90,637.90,329.30,595.50,374.20,65.20,33.80,29.80,2767.50,78.30,623.50,1936.90,128.80,3444.81,2268.57,Hyper-Pluvial,-19.66,-14.62,-0.634,-0.400,2403.10,2042.90,3440.50,1750.80,+360.20,2628.83,2587.14,507.00,-990.24,2.83,22.53,69.99,4.65,0.997,-1.21,Deficient (Moderate Drought),1
ASSAM & MEGHALAYA,1901,27.10,19.50,30.60,223.00,207.00,524.90,430.60,464.10,291.40,163.70,115.60,1.20,2498.70,46.60,460.60,1711.00,280.50,2580.70,1720.59,Hyper-Pluvial,-3.18,-0.56,-0.264,-0.042,2580.70,2580.70,2580.70,1720.59,+0.00,2580.70,2580.70,310.19,+0.00,1.86,18.43,68.48,11.23,1.265,+2.89,Normal,0
ASSAM & MEGHALAYA,1902,9.30,10.20,105.60,350.00,262.10,620.70,510.80,536.00,441.30,97.00,7.80,1.30,2952.10,19.50,717.70,2108.80,106.10,2580.70,1720.59,Hyper-Pluvial,+14.39,+22.56,+1.197,+1.719,2498.70,2580.70,2580.70,1711.00,-82.00,2498.70,2498.70,310.19,-82.00,0.66,24.31,71.43,3.59,1.158,+21.67,Normal,0
ASSAM & MEGHALAYA,1903,19.90,25.40,103.60,140.60,206.60,607.40,362.70,551.90,306.40,159.50,59.30,1.30,2544.60,45.30,450.80,1828.40,220.10,2580.70,1720.59,Hyper-Pluvial,-1.40,+6.27,-0.116,+0.477,2952.10,2498.70,2580.70,2108.80,+453.40,2725.40,2725.40,226.70,+144.70,1.78,17.72,71.85,8.65,1.130,+19.06,Normal,0
ASSAM & MEGHALAYA,1904,11.10,56.10,51.90,457.10,375.20,385.70,477.60,438.80,245.90,115.90,46.40,2.50,2664.20,67.20,884.20,1548.00,164.80,2580.70,1720.59,Hyper-Pluvial,+3.24,-10.03,+0.269,-0.764,2544.60,2952.10,2498.70,1828.40,-407.50,2665.13,2665.13,203.78,+84.44,2.52,33.19,58.10,6.19,1.261,-24.40,Normal,0
ASSAM & MEGHALAYA,1905,19.90,16.90,137.90,213.00,275.50,521.70,439.10,649.10,276.00,200.00,16.80,24.80,2790.70,36.80,626.40,1885.90,241.60,2580.70,1720.59,Hyper-Pluvial,+8.14,+9.61,+0.677,+0.732,2664.20,2544.60,2952.10,1548.00,+119.60,2720.30,2664.90,176.48,+84.20,1.32,22.45,67.58,8.66,1.039,+2.26,Normal,0
ASSAM & MEGHALAYA,1906,9.70,59.20,88.40,263.50,271.30,388.40,541.80,585.90,264.20,165.70,24.90,0.20,2663.20,68.90,623.20,1780.30,190.80,2580.70,1720.59,Hyper-Pluvial,+3.20,+3.47,+0.266,+0.264,2790.70,2664.20,2544.60,1885.90,+126.50,2666.50,2690.06,165.67,+109.36,2.59,23.40,66.85,7.16,1.094,-23.87,Normal,0
ASSAM & MEGHALAYA,1907,55.80,37.20,109.70,254.80,213.70,509.80,578.90,304.20,401.00,37.60,4.80,13.80,2521.30,93.00,578.20,1793.90,56.20,2580.70,1720.59,Hyper-Pluvial,-2.30,+4.26,-0.191,+0.325,2663.20,2790.70,2664.20,1780.30,-127.50,2706.03,2722.96,138.51,+104.89,3.69,22.93,71.15,2.23,1.544,-0.07,Normal,0
ASSAM & MEGHALAYA,1908,16.20,25.10,20.70,176.60,332.70,390.80,477.20,339.40,403.40,91.90,3.80,0.00,2277.80,41.30,530.00,1610.80,95.70,2580.70,1720.59,Hyper-Pluvial,-11.74,-6.38,-0.976,-0.486,2521.30,2663.20,2790.70,1793.90,-141.90,2658.40,2636.80,96.93,+81.42,1.81,23.27,70.72,4.20,1.169,-23.40,Normal,0
ASSAM & MEGHALAYA,1909,19.00,8.90,4.40,195.00,310.40,639.40,345.00,445.20,216.40,162.40,24.60,6.30,2377.00,27.90,509.80,1646.00,193.30,2580.70,1720.59,Hyper-Pluvial,-7.89,-4.34,-0.657,-0.330,2277.80,2521.30,2663.20,1610.80,-243.50,2487.43,2583.44,175.00,+33.38,1.17,21.45,69.25,8.13,1.488,+25.33,Normal,0
ASSAM & MEGHALAYA,1910,9.20,32.10,152.80,211.50,274.60,582.50,738.30,418.30,247.80,199.70,16.20,4.30,2887.30,41.30,638.90,1986.90,220.20,2580.70,1720.59,Hyper-Pluvial,+11.88,+15.48,+0.988,+1.179,2377.00,2277.80,2521.30,1646.00,+99.20,2392.03,2526.00,185.86,+7.04,1.43,22.13,68.82,7.63,1.983,+14.18,Normal,0
ASSAM & MEGHALAYA,1911,74.20,19.00,93.00,234.00,431.70,534.00,618.60,417.10,387.80,257.40,26.30,3.00,3096.10,93.20,758.70,1957.50,286.70,2580.70,1720.59,Hyper-Pluvial,+19.97,+13.77,+1.662,+1.049,2887.30,2377.00,2277.80,1986.90,+510.30,2514.03,2545.32,215.09,+36.99,3.01,24.51,63.22,9.26,1.432,+4.67,Normal,0
ASSAM & MEGHALAYA,1912,9.00,57.80,126.10,301.00,250.20,482.70,567.00,453.40,236.80,181.50,68.40,9.50,2743.40,66.80,677.30,1739.90,259.40,2580.70,1720.59,Hyper-Pluvial,+6.30,+1.12,+0.525,+0.086,3096.10,2887.30,2377.00,1957.50,+208.80,2786.80,2631.90,310.90,+96.73,2.43,24.69,63.42,9.46,1.521,-5.38,Normal,0
ASSAM & MEGHALAYA,1913,11.90,90.20,118.40,334.20,392.30,458.60,438.00,354.00,279.20,227.70,10.40,45.60,2760.50,102.10,844.90,1529.80,283.70,2580.70,1720.59,Hyper-Pluvial,+6.97,-11.09,+0.580,-0.845,2743.40,3096.10,2887.30,1739.90,-352.70,2908.93,2676.32,307.78,+75.86,3.70,30.61,55.42,10.28,1.416,-10.11,Normal,0
ASSAM & MEGHALAYA,1914,6.30,79.10,69.90,219.60,317.90,403.90,396.40,472.90,292.30,67.60,10.60,7.40,2343.90,85.40,607.40,1565.50,85.60,2580.70,1720.59,Hyper-Pluvial,-9.18,-9.01,-0.763,-0.687,2760.50,2743.40,3096.10,1529.80,+17.10,2866.67,2772.86,234.65,+97.45,3.64,25.91,66.79,3.65,1.046,-20.83,Normal,0
ASSAM & MEGHALAYA,1915,9.30,58.90,74.40,201.90,662.90,509.10,738.20,529.10,258.80,108.20,10.00,4.40,3165.20,68.20,939.20,2035.20,122.60,2580.70,1720.59,Hyper-Pluvial,+22.65,+18.28,+1.884,+1.393,2343.90,2760.50,2743.40,1565.50,-416.60,2615.93,2766.24,245.92,+65.42,2.15,29.67,64.30,3.87,1.583,-0.21,Excess (Deluge),0
ASSAM & MEGHALAYA,1916,20.00,28.00,118.40,227.90,340.60,367.30,475.30,430.70,308.80,244.90,32.80,6.30,2601.00,48.00,686.90,1582.10,284.00,2580.70,1720.59,Hyper-Pluvial,+0.79,-8.05,+0.065,-0.613,3165.20,2343.90,2760.50,2035.20,+821.30,2756.53,2821.82,293.75,+102.87,1.85,26.41,60.83,10.92,1.139,-28.00,Normal,0
ASSAM & MEGHALAYA,1917,12.80,91.60,38.70,168.80,206.20,584.70,472.80,346.30,313.70,236.60,46.40,1.40,2520.00,104.40,413.70,1717.50,284.40,2580.70,1720.59,Hyper-Pluvial,-2.35,-0.18,-0.196,-0.014,2601.00,3165.20,2343.90,1582.10,-564.20,2703.37,2722.80,266.82,+96.65,4.14,16.42,68.15,11.29,1.602,+14.61,Normal,0
ASSAM & MEGHALAYA,1918,4.60,16.10,125.50,152.20,287.40,659.40,805.00,604.80,373.20,70.70,6.80,1.10,3106.80,20.70,565.10,2442.40,78.60,2580.70,1720.59,Hyper-Pluvial,+20.39,+41.95,+1.696,+3.196,2520.00,2601.00,3165.20,1717.50,-81.00,2762.07,2678.12,278.10,+96.52,0.67,18.19,78.61,2.53,1.497,+29.25,Excess (Deluge),0
ASSAM & MEGHALAYA,1919,13.10,12.40,22.60,162.10,266.90,485.50,459.00,249.10,441.60,185.70,42.50,3.60,2344.10,25.50,451.60,1635.20,231.80,2580.70,1720.59,Hyper-Pluvial,-9.17,-4.96,-0.763,-0.378,3106.80,2520.00,2601.00,2442.40,+586.80,2742.60,2747.38,328.54,+179.42,1.09,19.27,69.76,9.89,1.367,-4.83,Normal,0
ASSAM & MEGHALAYA,1920,4.80,51.00,228.10,184.80,282.70,523.80,309.80,521.50,382.60,129.50,3.30,1.80,2623.70,55.80,695.60,1737.70,134.60,2580.70,1720.59,Hyper-Pluvial,+1.67,+0.99,+0.139,+0.076,2344.10,3106.80,2520.00,1635.20,-762.70,2656.97,2747.42,328.49,+176.13,2.13,26.51,66.23,5.13,0.922,+2.67,Normal,0
ASSAM & MEGHALAYA,1921,35.10,20.30,134.10,324.60,414.80,604.90,542.20,429.40,333.20,142.10,8.50,10.30,2999.50,55.40,873.50,1909.70,160.90,2580.70,1720.59,Hyper-Pluvial,+16.23,+10.99,+1.350,+0.837,2623.70,2344.10,3106.80,1737.70,+279.60,2691.53,2639.12,253.63,+149.77,1.85,29.12,63.67,5.36,1.504,+18.57,Normal,0
ASSAM & MEGHALAYA,1922,16.60,4.90,77.80,168.70,233.10,548.90,418.40,379.40,265.60,129.90,9.30,9.40,2262.00,21.50,479.60,1612.30,148.60,2580.70,1720.59,Hyper-Pluvial,-12.35,-6.29,-1.027,-0.480,2999.50,2623.70,2344.10,1909.70,+375.80,2655.77,2718.82,289.24,+140.11,0.95,21.20,71.28,6.57,1.500,+7.59,Normal,0
ASSAM & MEGHALAYA,1923,0.40,59.60,17.10,258.10,397.80,588.60,375.40,267.20,360.90,98.20,11.20,5.90,2440.40,60.00,673.00,1592.10,115.30,2580.70,1720.59,Hyper-Pluvial,-5.44,-7.47,-0.452,-0.569,2262.00,2999.50,2623.70,1612.30,-737.50,2628.40,2667.22,338.86,+91.97,2.46,27.58,65.24,4.72,1.535,+15.38,Normal,0
ASSAM & MEGHALAYA,1924,10.60,22.70,20.00,221.90,299.40,473.90,609.00,434.00,346.00,127.00,126.90,0.20,2691.60,33.30,541.30,1862.90,254.10,2580.70,1720.59,Hyper-Pluvial,+4.30,+8.27,+0.358,+0.630,2440.40,2262.00,2999.50,1592.10,+178.40,2567.30,2533.94,262.12,+59.96,1.24,20.11,69.21,9.44,1.388,-7.11,Normal,0
ASSAM & MEGHALAYA,1925,26.40,21.50,53.80,278.30,602.20,330.80,411.10,400.70,322.30,89.50,13.70,0.20,2550.50,47.90,934.30,1464.90,103.40,2580.70,1720.59,Hyper-Pluvial,-1.17,-14.86,-0.097,-1.132,2691.60,2440.40,2262.00,1862.90,+251.20,2464.67,2603.44,248.28,+94.73,1.88,36.63,57.44,4.05,1.026,-35.16,Normal,0
ASSAM & MEGHALAYA,1926,23.40,23.20,156.90,140.80,253.90,559.30,576.50,354.70,189.20,193.70,6.40,33.60,2511.60,46.60,551.60,1679.70,233.70,2580.70,1720.59,Hyper-Pluvial,-2.68,-2.38,-0.223,-0.181,2550.50,2691.60,2440.40,1464.90,-141.10,2560.83,2588.80,248.81,+33.26,1.86,21.96,66.88,9.30,2.088,+9.63,Normal,0
ASSAM & MEGHALAYA,1927,33.80,60.50,66.00,265.20,238.40,573.90,447.70,366.40,549.80,161.20,29.80,0.20,2792.90,94.30,569.60,1937.80,191.20,2580.70,1720.59,Hyper-Pluvial,+8.22,+12.62,+0.684,+0.962,2511.60,2550.50,2691.60,1679.70,-38.90,2584.57,2491.22,140.86,+24.32,3.38,20.39,69.38,6.85,1.115,+12.49,Normal,0
ASSAM & MEGHALAYA,1928,8.30,21.10,61.00,138.90,446.50,420.60,428.10,448.20,343.50,294.80,21.60,1.50,2634.10,29.40,646.40,1640.40,317.90,2580.70,1720.59,Hyper-Pluvial,+2.07,-4.66,+0.172,-0.355,2792.90,2511.60,2550.50,1937.80,+281.30,2618.33,2597.40,127.52,+51.61,1.12,24.54,62.28,12.07,1.072,-17.56,Normal,0
ASSAM & MEGHALAYA,1929,83.90,3.80,84.10,321.70,570.20,643.40,385.00,333.20,292.80,196.00,17.60,22.10,2953.80,87.70,976.00,1654.40,235.70,2580.70,1720.59,Hyper-Pluvial,+14.46,-3.85,+1.203,-0.293,2634.10,2792.90,2511.60,1640.40,-158.80,2646.20,2636.14,100.50,+4.34,2.97,33.04,56.01,7.98,1.643,+26.12,Normal,0
